,Wavelength,Sum
0,197.2,15.0
1,197.26,17.0
2,197.31,-31.0
3,197.36,30.0
4,197.42,-31.0
5,197.47,-2.0
6,197.53,25.0
7,197.58,-121.0
8,197.63,-56.0
9,197.69,3.0
10,197.74,48.0
11,197.8,-13.0
12,197.85,-32.0
13,197.9,-67.0
14,197.96,-94.0
15,198.01,-5.0
16,198.07,-8.0
17,198.12,-17.0
18,198.17,19.0
19,198.23,-36.0
20,198.28,0.0
21,198.33,-5.0
22,198.39,-4.0
23,198.44,-12.0
24,198.5,11.0
25,198.55,-53.0
26,198.6,18.0
27,198.66,5.0
28,198.71,-3.0
29,198.77,24.0
30,198.82,-72.0
31,198.87,-8.0
32,198.93,-47.0
33,198.98,9.0
34,199.04,-11.0
35,199.09,-9.0
36,199.14,-25.0
37,199.2,1.0
38,199.25,67.0
39,199.3,11.0
40,199.36,26.0
41,199.41,-2.0
42,199.47,21.0
43,199.52,30.0
44,199.57,46.0
45,199.63,-34.0
46,199.68,26.0
47,199.74,-43.0
48,199.79,48.0
49,199.84,16.0
50,199.9,32.0
51,199.95,-8.0
52,200.0,-25.0
53,200.06,35.0
54,200.11,71.0
55,200.17,31.0
56,200.22,35.0
57,200.27,-24.0
58,200.33,-4.0
59,200.38,-62.0
60,200.43,-22.0
61,200.49,38.0
62,200.54,25.0
63,200.6,-13.0
64,200.65,-68.0
65,200.7,70.0
66,200.76,-18.0
67,200.81,17.0
68,200.87,6.0
69,200.92,-35.0
70,200.97,0.0
71,201.03,8.0
72,201.08,95.0
73,201.13,6.0
74,201.19,-51.0
75,201.24,17.0
76,201.3,9.0
77,201.35,26.0
78,201.4,38.0
79,201.46,57.0
80,201.51,-59.0
81,201.56,55.0
82,201.62,12.0
83,201.67,0.0
84,201.73,-3.0
85,201.78,-37.0
86,201.83,-8.0
87,201.89,-15.0
88,201.94,-9.0
89,201.99,-45.0
90,202.05,2.0
91,202.1,21.0
92,202.16,-21.0
93,202.21,44.0
94,202.26,-20.0
95,202.32,-8.0
96,202.37,-41.0
97,202.42,76.0
98,202.48,-107.0
99,202.53,45.0
100,202.58,9.0
101,202.64,-10.0
102,202.69,9.0
103,202.75,15.0
104,202.8,-29.0
105,202.85,27.0
106,202.91,-24.0
107,202.96,17.0
108,203.01,14.0
109,203.07,14.0
110,203.12,-30.0
111,203.18,17.0
112,203.23,49.0
113,203.28,68.0
114,203.34,38.0
115,203.39,-24.0
116,203.44,3.0
117,203.5,-15.0
118,203.55,-3.0
119,203.6,114.0
120,203.66,591.0
121,203.71,812.0
122,203.77,1035.0
123,203.82,1061.0
124,203.87,506.0
125,203.93,156.0
126,203.98,27.0
127,204.03,-12.0
